Size RttMin RttAvg RttMax
16 0.283 0.392 0.435
116 0.298 0.403 0.418
216 0.326 0.385 0.425
316 0.375 0.423 0.448
416 0.416 0.464 0.496
516 0.463 0.507 0.530
616 0.513 0.572 0.668
716 0.552 0.607 0.626
816 0.606 0.657 0.678
916 0.667 0.706 0.716
1016 0.705 0.756 0.779
1116 0.749 0.802 0.825
1216 0.803 0.853 0.866
1316 0.852 0.898 0.908
1416 0.937 0.950 0.971
1470 0.923 0.974 0.990
1471 0.925 0.973 0.987
1472 0.961 0.980 0.995
1473 0.949 0.992 1.011
1474 0.945 0.996 1.021
1475 0.947 0.988 1.006
1476 0.979 0.996 1.011
1477 0.945 0.996 1.015
1478 0.930 0.989 1.002
1479 0.958 0.994 1.012
1480 0.970 0.998 1.006
1481 0.946 0.992 1.008
1482 0.941 0.995 1.010
1483 0.944 0.993 1.010
1484 0.931 0.992 1.008
1485 0.942 0.994 1.005
1486 0.983 0.999 1.015
1487 0.956 0.998 1.025
1488 0.944 0.994 1.009
1489 0.943 0.988 1.007
1490 0.978 0.998 1.016
1491 0.937 0.989 1.017
1492 0.933 0.993 1.007
1493 0.978 0.994 1.004
1494 0.937 0.994 1.012
1495 0.966 0.995 1.008
1496 0.985 0.998 1.011
1497 0.943 0.993 1.008
1498 0.976 0.995 1.005
1499 0.982 0.995 1.016
1500 0.947 0.993 1.009
1600 0.995 1.043 1.210
1700 0.964 0.994 1.014
1800 0.989 1.019 1.199
1900 0.993 1.045 1.264
2000 0.990 1.018 1.197
2100 0.993 1.022 1.200
2200 0.999 1.264 1.598
2300 1.500 1.606 1.626
2400 1.555 1.610 1.634
2500 1.502 1.602 1.619
2600 1.522 1.604 1.624
2700 1.575 1.611 1.631
2800 1.496 1.595 1.639
2900 1.499 1.592 1.622
3000 1.502 1.601 1.638
3100 1.488 1.599 1.661
3200 1.517 1.601 1.626
3300 1.497 1.596 1.624
3400 1.498 1.597 1.630
3500 1.500 1.602 1.622
3600 1.493 1.602 1.626
3700 1.504 1.603 1.648
3800 1.508 1.606 1.624
3900 1.496 1.595 1.624
4000 1.500 1.601 1.638
4100 1.559 1.603 1.624
4200 1.501 1.597 1.623
4300 1.509 1.594 1.630
4400 1.567 1.608 1.623
4500 1.504 1.608 1.635
4600 1.595 1.631 1.757
4700 1.614 1.644 1.779
4800 1.609 1.646 1.764
4900 1.550 1.623 1.755
5000 1.579 1.649 1.832
5100 1.570 1.630 1.858
5200 1.590 1.628 1.758
5300 1.607 1.636 1.845
5400 1.579 1.624 1.743
5500 1.609 1.657 1.842
5600 1.607 1.630 1.789
5700 1.609 1.697 1.911
5800 1.614 1.828 2.061
5900 1.920 2.030 2.235
6000 1.949 2.201 2.259
6100 2.079 2.225 2.260
6200 2.097 2.225 2.256
6300 2.061 2.210 2.244
6400 2.152 2.225 2.249
6500 2.132 2.223 2.260
6600 2.034 2.215 2.252
6700 2.058 2.213 2.243
6800 2.065 2.213 2.244
6900 2.073 2.214 2.253
7000 2.026 2.203 2.238
7100 2.082 2.210 2.244
7200 2.138 2.222 2.243
7300 2.035 2.208 2.243
7400 2.147 2.238 2.319
7500 2.150 2.230 2.255
7600 2.132 2.226 2.254
7700 2.084 2.219 2.266
7800 2.200 2.246 2.349
7900 2.141 2.225 2.252
8000 2.096 2.214 2.250
8100 2.211 2.244 2.317
8200 2.149 2.234 2.323
8300 2.205 2.239 2.316
8400 2.195 2.242 2.354
8500 2.185 2.235 2.312
8600 2.224 2.262 2.418
8700 2.177 2.222 2.251
8800 2.225 2.241 2.301
8900 2.218 2.244 2.316
9000 2.231 2.266 2.441
9100 2.232 2.310 2.515
9200 2.230 2.349 2.503
9300 2.231 2.288 2.520
9400 2.224 2.316 2.657
9500 2.537 2.581 2.822
9600 2.547 2.793 2.878
9700 2.650 2.836 2.875
9800 2.724 2.831 2.862
9900 2.620 2.820 2.877
10000 2.711 2.835 2.867
