Time Port
6.420085198 111
6.420151500 139
6.420176547 22
6.420198022 25
6.420220129 143
6.420241011 53
6.420261631 135
6.420282628 21
6.420304063 110
6.420324803 113
6.661738186 23
6.661817639 80
6.661848622 1
6.661873627 36
6.661899274 103
6.661923888 13
6.661948463 114
6.661974928 75
6.662000180 24
6.662027261 45
6.662051434 47
6.662076136 3
6.662100658 126
6.662126474 43
7.910268350 43
7.910341599 126
7.910368225 3
7.910393158 47
7.910418147 45
7.910442175 24
7.910464913 75
7.910488417 113
7.910510687 110
7.910533632 21
7.910562405 72
7.910635186 18
7.910677213 121
7.910704262 89
7.910729528 93
7.910751514 15
7.910773821 68
7.910803779 102
7.910828461 5
7.910850486 11
7.910871589 94
7.910893220 147
7.910916410 130
7.910938871 71
7.910960862 28
7.910983105 42
8.358837956 42
8.358908225 28
8.358935942 71
8.358959871 130
8.358982331 147
8.359005643 94
8.359026423 11
8.359048103 5
8.359071219 102
8.359092412 68
8.359113501 15
8.359135047 93
8.605702344 89
8.611139099 121
8.616529999 18
8.621976429 72
9.760842875 93
9.766205013 15
9.771342683 68
9.776627120 102
10.037343446 5
10.042872115 21
10.048091187 110
10.053523124 113
10.060885195 96
10.066080605 12
10.072475417 136
10.079060433 131
10.085664762 101
10.091080040 142
10.097472125 73
10.103004014 30
10.108394227 81
10.113765224 2
10.120253881 105
10.126850757 19
10.132941713 9
10.138804993 77
10.144030652 54
10.150913774 31
10.157738999 48
10.163821621 83
10.170695196 125
10.177404110 66
10.183648417 10
10.188814218 95
10.195492362 146
10.201642970 64
10.206957159 78
10.212082780 140
10.218596857 137
10.225265930 34
10.231699831 7
10.237418201 82
10.242636257 17
10.249275375 98
10.256241017 97
10.262845266 86
10.269185820 41
10.275186036 46
10.281644106 4
10.287763836 56
10.294304539 129
10.300228918 8
10.306701674 132
10.313703827 61
10.319531930 123
10.325629522 104
10.331470425 39
10.337659649 133
10.343462555 40
10.349607876 90
10.355951596 118
10.362274407 108
10.367784191 67
10.373305070 32
10.379077719 117
10.384710035 109
10.390452120 145
10.396432841 14
10.402883371 112
10.408095414 33
10.414621897 107
10.421667821 44
10.428177258 79
10.434185150 88
10.439796111 27
10.446473295 76
10.453668798 51
10.459512737 122
10.466738033 144
10.472605809 141
10.478382278 85
10.484451965 150
10.491009067 63
10.497050103 50
10.502848608 52
10.507948997 148
10.513057503 62
10.518745093 128
10.524052179 119
10.529435263 55
10.534734552 91
10.539950312 6
10.546630489 116
10.553692114 26
10.559556715 59
10.565576773 115
10.571036567 92
10.576103446 38
10.582018612 84
10.587221557 37
10.592659879 29
10.599295343 100
10.605136238 65
10.611047144 20
10.617291396 120
10.622788460 99
10.628192716 149
10.634230635 49
10.639463856 106
10.644971220 35
10.650434017 87
10.657114810 57
10.663351638 138
10.669608201 134
10.675280380 70
10.681673131 74
10.687329308 60
10.693633360 16
10.700591620 58
10.706899287 127
10.713155004 124
10.719135426 69
