Time Port
17.475450236 53
17.475516544 110
17.475542798 111
17.475564604 135
17.475587270 139
17.475608250 21
17.475629401 80
17.475650567 25
17.475672673 22
17.475694291 143
17.614132480 23
17.614193478 113
17.614218909 97
17.614242139 86
17.614263813 44
17.614285108 78
17.614307180 88
17.614328669 129
17.614350733 100
17.614374180 138
17.614396125 16
17.614417844 43
17.614439459 96
17.614461832 64
17.614483760 47
17.614509793 17
17.614547064 40
17.614587160 72
17.614620588 142
17.614643181 71
17.625737444 112
17.625809033 5
17.625837436 18
17.625865403 67
17.625889888 125
17.625916074 8
17.625941994 83
17.626017592 101
17.626065528 20
17.626127258 122
17.626156597 130
17.626178133 55
17.626202236 68
17.626223931 37
17.626246222 41
17.626269156 117
17.626291853 98
17.626313616 70
17.626342019 76
17.626380740 26
17.626409701 114
17.626432124 2
17.626454123 39
17.626474720 94
17.626496014 7
17.626516923 89
17.626537209 36
17.626558263 6
17.626579326 49
17.626602955 126
17.626625689 150
17.626664346 109
17.626694128 141
17.626717409 131
17.626738408 121
17.626761728 95
17.626783884 119
17.626806714 82
17.626827671 50
17.626848098 33
17.635973592 107
17.636044237 35
17.640620881 10
17.640684341 4
17.640708742 104
17.640730456 90
17.640752392 42
17.640773798 132
17.640795851 30
17.640818147 14
17.640839795 92
17.640861731 54
17.640882036 136
17.640903388 134
17.640924038 56
17.640944205 9
17.640966345 85
17.640988558 87
17.641011002 32
17.641033880 116
17.641055224 29
17.641076306 51
17.641098254 148
17.641136777 77
17.641177830 91
17.641205786 118
17.641229501 27
17.641251858 59
17.641273961 137
17.641297484 108
17.641320346 62
17.641344673 61
17.641381280 103
17.641405530 38
17.641426174 31
17.641447710 65
17.641469672 74
17.641491367 28
17.641511228 34
17.641531012 46
17.641551226 75
17.641573963 3
17.641597030 15
17.641619236 105
17.641640944 128
17.641661587 123
17.641697594 79
17.641720742 63
17.641741260 144
17.641763336 127
17.641783794 99
17.641816147 48
17.644051573 115
17.644112708 57
17.644138709 58
17.644161408 84
17.644183200 1
17.644205899 45
17.644226802 11
17.644247607 66
17.644268144 19
17.644288585 13
17.644312148 149
17.644332845 124
17.644354411 140
17.644378630 73
17.644402564 106
17.644423046 147
17.644443243 81
17.644465761 102
17.644486832 69
17.644507989 24
17.644529273 93
17.644550964 12
17.644571562 146
17.644593424 133
17.644634437 145
17.654651014 60
17.654711508 52
17.654734971 120
