Time Port
23.109827394 8
23.109895772 50
23.109919629 62
23.109941979 49
23.109966783 108
23.109987266 109
23.110007043 55
23.110027298 87
23.110049114 123
23.110069697 33
23.340950578 93
23.341019393 16
23.341044042 30
23.341066945 68
23.341087784 36
23.341110694 74
23.341133311 52
23.341154949 38
23.341179543 63
23.341200179 129
23.341222834 96
23.341243959 44
24.547213168 44
24.547282256 96
24.547310146 129
24.547332958 63
24.547354486 38
24.547374895 52
24.547395235 74
24.547416077 36
24.547448970 68
24.547469448 30
24.547489893 16
24.547509989 93
24.547530734 33
24.547556275 123
24.547577404 87
24.547597745 55
25.956738677 55
25.956820952 87
25.956852119 123
25.956879513 33
27.482475172 33
27.482556539 123
27.853551816 55
27.853620447 93
27.853650719 16
27.853675556 30
29.508858579 30
29.508927336 16
29.508952219 93
29.508974743 55
29.904509761 68
29.955049698 36
30.234751242 93
30.285194868 16
30.756735872 36
32.088268942 36
32.138712433 8
32.188890755 16
32.976571853 68
33.026875363 74
33.088069504 52
33.833929025 74
33.896445702 52
34.101582471 38
34.410919389 63
34.568204871 52
35.082921375 63
35.241602494 52
35.754508495 8
35.848977988 63
35.899207442 96
35.949354739 44
35.999746564 135
36.049941421 48
36.100486463 90
36.150650041 146
36.200793694 31
36.545101408 63
36.595766249 12
36.646463450 96
36.697140579 44
36.747611737 135
36.797988458 48
36.848524199 90
36.898899845 146
37.261430660 65
37.314346615 12
37.364930036 96
37.585359110 48
37.635566327 90
37.685774623 146
38.047172558 65
38.102124747 12
38.372814473 48
38.461115925 146
38.877821978 12
39.146685859 48
39.236974101 146
39.544041515 12
39.812383080 48
40.210264104 12
41.453513127 48
41.554102864 90
42.026955964 8
42.127524784 90
42.228219843 135
42.328968402 44
42.429672267 63
42.530416023 52
42.630949544 16
42.731665233 90
42.832404998 135
42.932533399 44
43.033325837 21
43.134039307 106
43.235188338 90
43.336331464 135
43.507032675 21
43.608163730 106
43.709284255 14
43.810428707 135
43.980488302 21
44.304631038 14
44.405113927 135
44.898871615 14
44.999506860 106
45.100315392 98
45.511484932 106
45.612444269 98
46.023494183 106
46.124634924 98
46.390494859 72
46.755591580 98
47.020737157 72
47.311771175 13
47.412660986 98
47.928248730 13
48.028987360 98
48.544781466 13
48.645013934 8
48.950866599 98
49.371236825 66
49.472351080 70
49.572976051 11
49.674130009 35
49.775005997 19
50.284238885 70
50.385369848 11
50.618851989 19
51.128997416 70
51.463654832 19
51.715113191 35
51.878944153 70
52.464945862 35
52.630346738 70
53.216819586 8
53.380342133 70
53.767660929 35
54.043085143 145
54.595274288 35
54.869080099 145
55.070689974 83
55.610017514 145
55.811138734 83
56.012510821 133
56.443753863 83
56.644982797 133
56.846119805 102
57.190322266 133
57.391751930 102
57.653764020 6
57.854887687 133
58.162677284 6
58.363830845 133
58.576105397 92
59.011627911 133
59.224928525 92
59.497692025 73
59.698925352 133
60.071180807 73
60.272625949 95
60.473680015 17
60.675139622 86
60.876325948 73
61.078004359 140
61.279640604 17
61.481022091 86
61.772080607 140
61.975132654 17
62.466810745 140
62.670645851 17
62.877161134 73
63.471160223 17
63.677847852 73
63.879385591 7
64.336616307 73
64.539482354 7
64.740692137 53
65.019415582 73
65.422327828 53
65.642487576 89
65.844128404 64
66.212955346 89
66.414578619 64
66.816937691 32
67.219334564 64
67.621128364 32
68.023144456 81
68.425828401 32
68.827042322 81
69.229383584 111
69.631795596 81
70.032999300 78
70.435633923 81
70.838150086 78
71.240784100 104
71.641907048 78
72.044430597 143
72.446846990 78
72.847451874 143
73.250080150 97
73.650181894 143
74.052615237 107
74.455141977 143
74.857629185 107
75.259735612 79
75.662411221 107
76.064517267 79
76.466871787 23
76.868361801 79
77.270366434 34
77.672614193 79
78.075245995 8
78.476943463 34
78.879202629 4
79.280658671 3
79.773823909 4
80.176321992 3
80.578615217 115
80.979958542 100
81.382270562 3
81.782873895 100
82.184746146 54
82.587412482 100
83.388652908 54
84.192987644 54
84.995789563 37
85.798027385 45
86.601575845 131
87.406212402 8
88.210528650 131
89.015155044 131
89.816685053 125
90.620888368 125
91.423695246 150
92.227800755 27
93.032335668 27
93.836692606 59
94.639605195 116
95.442189581 112
96.246330266 112
97.049385100 124
97.852733206 5
98.656961240 8
99.459784516 5
100.261036632 77
101.064172917 5
101.866731834 61
102.669195285 144
103.472566553 144
104.276905515 40
105.080139719 80
105.884776941 80
106.688389911 128
107.490397184 114
108.292632101 51
109.096696704 8
109.900925473 51
110.703895305 41
111.508584478 41
112.312093577 76
113.116720998 76
114.122109190 75
115.127741273 75
116.131972364 85
117.136621813 69
118.141692775 69
119.145028756 122
120.148357858 26
121.152875177 110
122.158184548 8
123.161112029 110
124.164552081 67
125.164724062 119
126.169863202 119
127.172559318 149
128.176174836 130
129.180743385 130
130.182508475 25
131.186354413 71
132.188696138 99
133.192565279 58
134.196867127 103
135.201671907 20
136.207069188 8
137.210973264 20
138.216318999 20
139.221363592 56
140.224944055 46
141.228958818 9
142.233901628 2
143.239527543 2
144.243519900 142
145.247917552 15
146.251326555 120
147.256640945 8
148.260274080 120
149.265902395 120
150.271009278 10
151.274978576 42
152.280443992 42
153.285100160 121
154.290754822 121
155.294697431 1
156.299050217 138
157.304276151 39
158.309532033 8
159.313589271 39
160.316997415 39
161.322386823 24
162.326161019 137
163.330346336 134
164.334168589 141
165.338163544 117
166.343350653 117
167.348604421 105
168.352617343 88
169.357697432 148
170.362226071 47
171.364704195 139
172.364970818 84
173.370188436 101
174.373243415 127
175.376939386 113
176.380584739 28
177.384959706 136
178.390643333 8
179.394782965 136
180.396690016 118
181.401811880 29
182.405659491 132
183.409395457 18
184.412701351 147
185.416260471 57
186.416579525 22
187.420500084 82
188.424705247 126
189.428339702 94
190.428724485 43
191.432719436 60
192.438014196 91
