Time Port
15.071065254 53
15.071143271 23
15.071174010 21
15.071199702 22
15.071227386 111
15.071252267 143
15.071276705 135
15.071301438 139
15.071326260 80
15.071350794 25
15.077392071 113
15.077462771 110
15.077491820 103
15.077520413 74
15.077547187 32
15.077573961 89
15.077600527 17
15.077625776 33
15.077691292 102
15.077727094 115
15.077754329 138
15.077787643 2
15.077814304 43
15.077839910 114
15.077873083 34
15.077900468 99
15.077927837 76
15.077953488 145
15.077979798 58
15.078005621 123
15.087442468 6
15.087508717 27
15.087538596 44
15.087568181 5
15.087594991 116
15.087621853 126
15.087648479 128
15.087677322 142
15.087705428 55
15.087731229 77
15.087756485 24
15.087783526 70
15.087809266 61
15.087838739 119
15.087865920 108
15.087900402 18
15.087928352 96
15.087953877 130
15.087980645 125
15.088005147 101
15.088030713 87
15.088057000 75
15.088083337 133
15.088110092 91
15.088135787 26
15.088161739 148
15.088188082 63
15.088213941 8
15.088239626 105
15.088264739 98
15.088291379 71
15.088317384 64
15.088344840 59
15.088369991 127
15.088395659 4
15.088421465 49
15.088449645 109
15.088476738 45
15.088502711 134
15.088528060 9
15.106802679 50
15.106869187 150
15.106898744 38
15.106925212 73
15.106951099 106
15.106975787 28
15.107000005 118
15.107026327 7
15.107050896 47
15.107076204 46
15.107101747 62
15.107126420 39
15.107150337 121
15.107174013 100
15.107199937 54
15.107224341 37
15.107250279 36
15.107275065 68
15.107299216 57
15.107324812 56
15.107349498 120
15.107376593 15
15.107403621 147
15.107430157 66
15.107463889 42
15.107488926 141
15.107513418 16
15.107538890 132
15.107563338 83
15.107587355 29
15.107612371 11
15.107637521 13
15.107663746 52
15.107687737 97
15.107711675 82
15.107736494 129
15.107760072 117
15.107783745 86
15.107807959 95
15.107833765 65
15.107858166 88
15.107881818 94
15.107907944 48
15.107933432 20
15.107958451 112
15.107982284 107
15.108006230 3
15.108031056 124
15.108054397 90
15.108082199 104
15.110323912 137
15.110377205 131
15.110407097 146
15.110432367 136
15.110457446 30
15.110482415 14
15.110506555 31
15.110531008 85
15.110556823 140
15.110584018 72
15.110609421 41
15.110635183 149
15.110659779 67
15.110686123 69
15.110710804 81
15.110734879 19
15.110758942 92
15.110783648 51
15.110860442 78
15.110892249 79
15.110918294 122
15.110942817 144
15.120196467 1
15.120275630 93
15.120310668 10
15.120336067 60
15.120360769 12
15.120382710 40
15.120404779 84
15.120427917 35
16.190186934 144
16.190268062 122
16.190298978 79
16.190325351 78
16.190351845 51
16.190378843 92
16.190404167 19
16.190430144 81
16.190456851 69
16.190485236 67
16.190510846 149
16.190535717 41
16.190581426 72
16.190608576 140
16.190635029 85
16.190660145 31
16.190684937 14
16.190711157 30
16.190736815 136
16.190762492 146
16.190786787 131
16.190812265 137
16.190837316 104
16.190863073 90
16.190887056 124
16.190928052 3
16.190953446 107
16.190977537 112
16.191001505 20
16.191025541 48
16.191050237 94
16.191074750 88
16.191098463 65
16.191122183 95
16.191145956 86
16.191170023 117
16.191193801 129
16.191217106 82
16.191240792 97
16.191265847 52
16.191290202 13
16.191314043 11
16.191338128 29
16.191361992 83
16.191385717 132
16.191409512 16
16.191432869 141
16.191456384 42
16.191480638 66
16.191506765 147
16.193820557 15
16.193891228 148
16.193919906 26
16.193945308 91
17.293185371 91
17.293261540 26
17.293289582 148
17.293314169 15
17.293337870 147
17.293361226 66
17.293386460 42
17.293410808 141
17.293433903 16
17.293456999 132
17.293480283 83
17.293504124 29
17.293528003 11
17.293551164 13
17.293576108 52
17.293599266 97
17.293624614 82
17.293682639 129
17.293710752 117
17.293734435 86
17.293757740 95
17.293794663 65
17.293821240 88
17.293846826 94
17.293869936 48
17.293893691 20
17.293916852 112
17.293940991 107
17.293964281 3
17.293987512 124
17.294011373 90
17.306227860 104
17.306296255 137
17.306323352 131
18.395809904 90
18.401600146 124
18.406798176 3
18.411981362 107
18.417385174 112
18.422568381 20
18.427955980 48
18.433417723 94
18.438623291 88
18.444038582 65
18.449514286 95
