Time Port
20.032310811 146
20.032390739 100
20.032418639 88
20.032443964 61
20.032468987 19
20.032494347 73
20.032517488 11
20.032541172 67
20.032564970 135
20.032589911 54
20.036284542 132
20.036360425 70
21.134283172 70
21.134362907 132
21.134393436 54
21.134419631 135
21.134444491 67
21.134468341 11
21.134491440 73
21.134516354 19
21.134541628 61
21.134577537 88
21.134602220 100
22.236746169 100
22.236825340 88
22.236853287 61
22.236878704 19
22.236903361 73
22.236926729 11
22.236951040 67
23.338983216 67
23.339068888 11
23.339097981 73
23.339125545 19
24.440926768 19
24.441005875 73
24.491584193 67
25.543665295 67
25.594185489 73
26.695738228 67
26.796463389 61
26.896734711 88
26.997235930 88
27.097922909 88
27.198624157 88
27.299173149 135
27.399647133 54
27.500358344 54
27.600759232 54
27.701471772 54
27.801960733 54
29.004120662 88
29.404831448 132
29.805222455 132
30.205989810 67
31.607840926 67
32.008396458 146
32.408805386 27
32.809572768 27
33.210098942 46
33.610791507 46
34.011456610 56
34.412480721 56
34.812979177 57
35.214001792 57
35.614771589 76
36.015522456 76
36.416583887 118
36.817622358 118
37.218633091 106
37.619489327 106
38.020001691 43
38.420943834 43
38.821976216 5
39.222779324 5
39.623713378 136
40.024789683 136
40.826003425 141
41.627126934 96
42.428521599 60
43.229685612 77
44.030996488 102
44.832380238 99
45.633760763 143
46.434872048 97
47.236282073 25
48.037503604 145
48.838782873 52
49.639392047 65
50.440504576 38
51.241920102 41
52.043205056 3
52.844601867 146
53.646004412 3
54.447289058 84
55.248730964 94
56.049960449 114
56.850445597 114
57.651762439 40
58.453166581 149
59.254567370 130
60.055176532 93
60.856582108 93
61.657980152 122
62.459340135 127
63.260444477 62
64.061599565 92
64.863031447 148
65.664399953 83
66.465799082 82
67.267039978 63
68.068122583 14
68.869538667 58
69.670985734 104
70.471181955 147
71.272564369 85
72.072893749 44
72.874111816 64
73.675413945 35
74.476829333 79
75.278239685 87
76.079462876 8
76.880546766 1
77.681960118 128
78.483370300 22
79.284774387 74
80.085941182 86
80.887209985 12
81.688309546 42
82.489416205 134
83.290617769 105
84.091456155 133
84.892574431 113
85.693760303 36
86.495169748 29
87.296544282 71
88.097629381 140
88.899066341 51
89.700482671 37
90.501782919 124
91.303086285 90
92.103398258 4
92.904529472 17
93.705964222 115
94.507153203 98
95.308561363 23
96.108891846 2
97.711194756 48
98.511386540 119
99.312558062 30
100.113772405 103
101.716605541 68
102.518018766 26
103.319423737 116
104.120583630 95
104.921608058 47
105.723056009 108
106.524484462 144
107.325898846 117
108.127308694 18
108.928728684 32
109.730164425 139
110.531553831 20
111.332843397 138
112.134036780 107
112.935045413 28
113.736335268 101
114.537540950 55
116.940946340 110
117.742358796 131
118.543750730 72
119.345190664 10
120.146588605 69
120.947988109 142
121.749388792 150
122.550606298 31
123.352038177 59
124.153197127 78
124.954653980 146
125.755561467 78
126.556983620 34
127.358400112 125
128.159818231 39
128.960768017 89
129.761904077 21
130.563252159 75
131.364686816 33
132.165914600 129
132.967323711 24
133.768732425 50
134.570133723 126
135.371395990 112
136.172593039 109
136.973741703 81
137.775171828 120
138.576572950 121
139.377908379 6
140.179324815 45
140.980730546 91
141.781975777 9
142.583174658 16
144.185775753 15
144.987227070 66
146.589363362 13
147.390582968 49
