No.     Time           Source                Destination           Protocol Length Info
     27 3.452996181    172.18.132.158        172.18.135.160        UDP      42     58418 → 34 Len=0
     28 3.453071113    172.18.132.158        172.18.135.160        UDP      42     58418 → 131 Len=0
     29 3.453098519    172.18.132.158        172.18.135.160        UDP      42     58418 → 13 Len=0
     30 3.453121832    172.18.132.158        172.18.135.160        UDP      42     58418 → 102 Len=0
     31 3.453145112    172.18.132.158        172.18.135.160        UDP      42     58418 → 55 Len=0
     32 3.453168458    172.18.132.158        172.18.135.160        UDP      56     58418 → 80 Len=14
     33 3.453194755    172.18.132.158        172.18.135.160        UDP      42     58418 → 125 Len=0
     34 3.453218126    172.18.132.158        172.18.135.160        UDP      42     58418 → 15 Len=0
     35 3.453241256    172.18.132.158        172.18.135.160        UDP      42     58418 → 23 Len=0
     36 3.453265494    172.18.132.158        172.18.135.160        UDP      42     58418 → 135 Len=0
     44 3.586907084    172.18.132.158        172.18.135.160        UDP      42     58418 → 60 Len=0
     45 3.586980442    172.18.132.158        172.18.135.160        UDP      42     58418 → 33 Len=0
     46 3.587007996    172.18.132.158        172.18.135.160        UDP      42     58418 → 64 Len=0
     47 3.587031254    172.18.132.158        172.18.135.160        UDP      42     58418 → 87 Len=0
     48 3.587053673    172.18.132.158        172.18.135.160        UDP      42     58418 → 88 Len=0
     49 3.587080036    172.18.132.158        172.18.135.160        UDP      42     58418 → 1 Len=0
     50 3.587103710    172.18.132.158        172.18.135.160        UDP      42     58418 → 129 Len=0
     51 3.587127119    172.18.132.158        172.18.135.160        UDP      42     58418 → 21 Len=0
     52 3.587149981    172.18.132.158        172.18.135.160        UDP      42     58418 → 65 Len=0
     53 3.587173773    172.18.132.158        172.18.135.160        UDP      42     58418 → 84 Len=0
     54 3.587199211    172.18.132.158        172.18.135.160        UDP      42     58418 → 94 Len=0
     55 3.587224364    172.18.132.158        172.18.135.160        UDP      42     58418 → 10 Len=0
     58 4.701481926    172.18.132.158        172.18.135.160        UDP      42     58419 → 10 Len=0
     59 4.701547659    172.18.132.158        172.18.135.160        UDP      42     58419 → 94 Len=0
     60 4.701571373    172.18.132.158        172.18.135.160        UDP      42     58419 → 84 Len=0
     61 4.701593634    172.18.132.158        172.18.135.160        UDP      42     58419 → 65 Len=0
     62 4.701614726    172.18.132.158        172.18.135.160        UDP      42     58419 → 21 Len=0
     63 4.701635542    172.18.132.158        172.18.135.160        UDP      42     58419 → 129 Len=0
     64 4.701655853    172.18.132.158        172.18.135.160        UDP      42     58419 → 1 Len=0
     65 4.701677366    172.18.132.158        172.18.135.160        UDP      42     58419 → 88 Len=0
     66 4.701699719    172.18.132.158        172.18.135.160        UDP      42     58419 → 87 Len=0
     67 4.701720396    172.18.132.158        172.18.135.160        UDP      42     58419 → 64 Len=0
     68 4.701740264    172.18.132.158        172.18.135.160        UDP      42     58419 → 33 Len=0
     69 4.701765211    172.18.132.158        172.18.135.160        UDP      42     58419 → 60 Len=0
     70 4.701785974    172.18.132.158        172.18.135.160        UDP      42     58419 → 135 Len=0
     71 4.701807309    172.18.132.158        172.18.135.160        UDP      42     58419 → 23 Len=0
     72 4.701828282    172.18.132.158        172.18.135.160        UDP      42     58419 → 15 Len=0
     73 4.701848851    172.18.132.158        172.18.135.160        UDP      42     58419 → 125 Len=0
     74 4.948285532    172.18.132.158        172.18.135.160        UDP      42     58429 → 34 Len=0
     75 4.948358251    172.18.132.158        172.18.135.160        UDP      42     58418 → 139 Len=0
     76 4.948384097    172.18.132.158        172.18.135.160        UDP      42     58418 → 57 Len=0
     77 4.948405498    172.18.132.158        172.18.135.160        UDP      42     58418 → 97 Len=0
     78 4.948439048    172.18.132.158        172.18.135.160        UDP      42     58418 → 14 Len=0
     79 4.948460273    172.18.132.158        172.18.135.160        UDP      42     58418 → 142 Len=0
     80 4.948480278    172.18.132.158        172.18.135.160        UDP      42     58418 → 107 Len=0
     81 4.948499780    172.18.132.158        172.18.135.160        UDP      42     58418 → 132 Len=0
     82 4.948521182    172.18.132.158        172.18.135.160        NBNS     92     Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>
     83 4.948541571    172.18.132.158        172.18.135.160        UDP      42     58418 → 36 Len=0
     84 4.948563707    172.18.132.158        172.18.135.160        UDP      42     58418 → 146 Len=0
     85 4.948583628    172.18.132.158        172.18.135.160        UDP      42     58418 → 115 Len=0
     86 4.948604627    172.18.132.158        172.18.135.160        UDP      42     58418 → 71 Len=0
     87 4.948624046    172.18.132.158        172.18.135.160        UDP      42     58418 → 99 Len=0
     88 4.948643277    172.18.132.158        172.18.135.160        UDP      42     58418 → 25 Len=0
     89 4.948663094    172.18.132.158        172.18.135.160        UDP      42     58418 → 24 Len=0
     91 5.195629181    172.18.132.158        172.18.135.160        UDP      42     58419 → 24 Len=0
     92 5.442977900    172.18.132.158        172.18.135.160        UDP      42     58419 → 25 Len=0
     95 5.690045468    172.18.132.158        172.18.135.160        UDP      42     58419 → 99 Len=0
     99 6.756383245    172.18.132.158        172.18.135.160        UDP      42     58420 → 99 Len=0
    100 6.756463333    172.18.132.158        172.18.135.160        UDP      42     58420 → 24 Len=0
    103 7.182435471    172.18.132.158        172.18.135.160        UDP      42     58430 → 34 Len=0
    104 7.182502756    172.18.132.158        172.18.135.160        UDP      42     58419 → 71 Len=0
    113 7.608499889    172.18.132.158        172.18.135.160        UDP      42     58420 → 71 Len=0
