Time Port
3.452996181 34
3.453071113 131
3.453098519 13
3.453121832 102
3.453145112 55
3.453168458 80
3.453194755 125
3.453218126 15
3.453241256 23
3.453265494 135
3.586907084 60
3.586980442 33
3.587007996 64
3.587031254 87
3.587053673 88
3.587080036 1
3.587103710 129
3.587127119 21
3.587149981 65
3.587173773 84
3.587199211 94
3.587224364 10
4.701481926 10
4.701547659 94
4.701571373 84
4.701593634 65
4.701614726 21
4.701635542 129
4.701655853 1
4.701677366 88
4.701699719 87
4.701720396 64
4.701740264 33
4.701765211 60
4.701785974 135
4.701807309 23
4.701828282 15
4.701848851 125
4.948285532 34
4.948358251 139
4.948384097 57
4.948405498 97
4.948439048 14
4.948460273 142
4.948480278 107
4.948499780 132
4.948521182 137
4.948541571 36
4.948563707 146
4.948583628 115
4.948604627 71
4.948624046 99
4.948643277 25
4.948663094 24
5.195629181 24
5.442977900 25
5.690045468 99
6.756383245 99
6.756463333 24
7.182435471 34
7.182502756 71
7.608499889 71
8.886856942 24
8.886930015 99
9.390916869 115
9.390989531 146
9.627878802 36
9.890965607 146
10.127758407 36
10.390853527 146
10.627363110 36
11.858355252 146
11.858429595 99
12.339362401 34
12.339501543 24
12.819969379 137
13.108519613 132
13.108579372 107
13.639881538 107
13.639953386 132
14.169057808 132
14.169129177 107
14.441974859 142
14.703105315 107
14.975885754 142
15.236998415 14
15.273939776 97
15.574556993 142
15.870658546 97
16.171506043 142
16.467324235 97
16.768454804 34
17.001602688 57
17.001673385 139
17.001699217 125
17.001723311 15
17.001746769 23
17.001770702 135
17.001794977 60
17.001815962 33
17.001836939 64
17.001858288 87
17.001879170 88
17.018326549 97
17.550773268 88
17.550842550 87
17.550866811 64
17.550889348 33
17.550910970 60
17.550932053 135
17.550952332 23
17.550974439 15
17.550995273 125
17.551016281 139
17.551037587 57
17.569029553 1
18.099930563 57
18.100016906 139
18.100042262 125
18.100064503 15
18.100087617 23
18.100110497 135
18.100131967 60
18.100152709 33
18.100174370 64
18.100196083 87
18.100216869 88
18.119886187 1
18.611865487 139
18.662556819 1
18.713256218 129
18.763731254 21
18.814134960 65
18.864838590 84
18.915002294 94
18.965433069 10
19.121602176 138
19.172112582 18
19.222802853 117
19.273493232 149
19.323931648 129
19.374469489 21
19.424601644 65
19.475329748 84
19.525516273 94
19.576194914 10
19.732865657 18
19.785582622 117
19.836272530 149
19.886644519 129
19.937071370 21
19.987294329 65
20.037651627 84
20.088142444 94
20.138853735 10
20.445626821 149
21.547760600 149
21.648506685 34
21.749258368 94
21.849901585 84
21.950658961 65
22.051142450 21
22.157127881 149
23.372425136 149
23.573074380 21
23.773907058 84
23.974456649 94
25.376870188 84
25.777913454 34
26.178942539 21
27.981740521 84
28.782930315 149
29.584374883 149
30.385497720 129
31.186661753 129
31.987898306 129
32.788533000 117
33.589810006 117
34.390845894 18
35.192286705 34
35.993728509 18
36.794943995 1
37.596389688 1
38.397824036 1
39.198942508 139
39.999864070 139
40.801053334 88
41.602493610 88
42.403932448 88
43.204768380 87
44.006205809 34
44.807458929 87
45.607937106 64
46.409424719 64
47.210865353 64
48.211873320 33
49.213510258 33
50.214307498 60
51.215678423 60
52.216456394 60
53.217778812 135
54.219422790 34
55.223736161 135
56.228855501 135
57.234484380 135
58.235778813 23
59.241409487 23
60.247044770 23
61.251101820 15
62.255921049 15
63.259768242 125
64.264888327 125
65.270516352 34
66.274820922 125
67.279920101 125
68.284035511 97
69.289514189 97
70.293941320 142
71.299570732 142
72.303472295 107
73.309088195 107
74.314728431 107
75.318556299 84
76.324225732 34
77.329124588 24
78.331316853 99
79.335221222 146
80.340379433 146
81.343792712 85
82.349350855 85
83.354973253 85
84.358879089 150
85.364510198 150
86.368925927 63
87.374562664 34
88.380212474 63
89.384348458 140
90.389816010 140
91.395325871 140
92.399693760 111
93.405317655 111
94.409487779 41
95.415114721 41
96.420744268 41
97.425274518 92
98.427599334 34
99.433118138 92
100.436851886 73
101.442253176 73
102.446435394 3
103.451924154 3
104.457514305 3
105.461656778 43
106.467092363 43
107.472582000 43
108.476948333 82
109.482573690 34
110.485598299 82
111.491147736 82
112.496776893 82
113.501630196 101
114.502045257 108
115.507669781 108
116.513295254 108
117.517825868 95
118.523475139 95
119.523637702 128
120.528920361 34
121.534355393 128
122.538884722 61
123.544520868 61
124.550156350 61
125.554140420 56
126.559770811 56
127.563449333 100
128.568748412 100
129.571688260 100
130.575326282 44
131.579823059 34
132.583696394 44
133.589038578 44
134.594170995 44
135.598194034 20
136.603633218 20
137.609275564 20
138.613510444 98
139.619138136 98
140.623468814 119
141.629093912 119
142.634717504 34
143.638756464 119
144.644099269 119
145.649728082 119
146.651916270 81
147.657558968 81
148.662068301 130
149.667518876 130
150.673151930 130
151.677084939 105
152.679947650 105
153.685116844 34
154.689080916 105
155.694522466 105
156.698832108 104
157.700135014 104
158.705566484 104
159.710156186 26
160.715793864 26
161.721424125 26
162.725418688 103
163.731049107 103
164.735099121 51
165.740733895 34
166.746365229 51
167.750442290 6
168.756077942 6
169.761700994 6
170.766195377 109
171.771821994 109
172.776136219 8
173.781781009 8
174.787164373 8
175.791189772 22
176.796818646 34
177.802185759 22
178.803697258 143
179.807799244 143
180.813180969 143
181.817638668 69
182.823276796 69
183.827177683 126
184.832661527 126
185.838297634 126
186.842790600 70
187.844145001 34
188.847932204 70
189.853412689 70
190.859035362 70
191.863553509 78
192.869175441 78
193.874810426 78
194.878814176 67
195.884454591 67
196.888274154 66
197.893686741 66
198.899317106 34
199.899588767 66
200.904955854 66
201.907912135 66
202.911510120 120
203.916651855 120
204.920935797 147
205.926352913 147
206.931882433 147
207.936134449 122
208.941766831 122
209.947421282 34
210.951601498 122
211.957247305 122
212.961640880 133
213.967176524 133
214.972817116 133
215.976972197 35
216.982615393 35
217.987920824 35
218.992394190 37
219.997814183 37
221.001882791 7
222.007536789 34
223.012878995 7
224.017383491 38
225.023023506 38
226.027916907 38
227.031930412 2
228.037301250 2
229.040812521 106
230.045913736 106
231.051552094 106
232.056222649 54
233.061838899 34
234.065701289 54
235.071355505 54
236.076492531 54
237.081216397 48
238.083903223 48
239.089405749 48
240.093631456 123
241.098972344 16
242.104245579 118
243.108139593 124
244.112766044 28
245.116791373 93
246.120982397 110
247.126610171 34
248.132107415 110
249.135870300 19
250.141246333 19
251.146880300 19
252.151216939 134
253.156875371 134
254.160726929 77
255.166137762 77
256.167823146 77
257.171615552 42
258.175880125 34
259.181207312 42
260.185338410 74
261.190494093 74
262.194801399 32
263.200432780 32
264.204664050 127
265.209817885 127
266.215469754 127
267.215578541 9
268.221222416 9
269.226872377 34
270.230131572 9
271.235779086 9
272.239502718 17
273.244625878 17
274.250009958 17
275.253902927 75
276.255920874 75
277.259835163 75
278.264195936 59
279.269596695 59
280.271917342 39
281.277479514 34
282.279465089 39
283.283658015 68
284.288967549 68
285.293194359 49
286.295596524 49
287.301260749 49
288.305685885 113
289.307622004 113
290.311668969 31
291.317206663 31
292.319848579 34
293.324166713 31
294.327559771 31
295.332734307 31
296.335595689 11
297.340974074 11
298.343861232 11
299.347600814 46
300.352927940 46
301.355893026 79
302.359649361 79
303.365274491 34
304.369290878 79
305.374510245 79
306.380162830 79
307.383853721 50
308.387548230 50
309.391361945 114
310.395498832 114
311.399902201 114
312.403692963 96
313.407946770 96
314.413587673 34
315.417871089 96
316.423522422 96
317.427378226 112
318.432822903 112
319.438126173 112
320.439654327 4
321.445031532 4
322.447552541 4
323.452100021 89
324.457502844 89
325.463147159 34
326.467372209 89
327.473006705 89
328.477063738 29
329.482700930 29
330.488168738 29
331.492131426 141
332.495935665 141
333.499445770 144
334.505059287 144
335.507893825 144
336.512183987 86
337.517826014 34
338.523326044 86
339.527698320 58
340.533335502 58
341.537657576 62
342.543295432 62
343.548512062 62
344.552422444 91
345.557838245 91
346.563486480 91
347.563476803 5
348.569153372 34
349.573343858 5
350.578757172 5
351.584388656 5
352.588489289 148
353.591803501 148
354.595337565 52
355.600937184 52
356.603596146 90
357.607896177 90
358.611542532 90
359.612357922 76
360.613537149 34
361.614907850 76
362.615530908 45
363.620929790 45
364.626577503 45
365.630768870 136
366.636204568 136
367.639941272 116
368.644133939 116
369.648208772 30
370.653845513 30
371.658684449 47
372.664327019 34
373.667830342 47
374.672342640 27
375.677975089 27
376.682983801 40
377.688109069 72
378.691928056 145
379.697337906 145
380.701392678 12
381.706809068 12
382.712337279 12
383.716481837 53
384.722111174 34
385.727742332 53
386.732056564 121
387.737686207 121
388.741714800 83
389.747350906 83
390.752786068 83
